,director,actor2,genres,actor1,title,actor3,comb
2726,Mark Romanek,Charlie Rowe,Drama Romance Sci-Fi,Andrew Garfield,never let me go,Charlotte Rampling,Andrew Garfield Charlie Rowe Charlotte Rampling Mark Romanek Drama Romance Sci-Fi
2727,,Tom Hollander,Drama History Thriller,Anna Silk,the company            ,Alessandro Nivola,Anna Silk Tom Hollander Alessandro Nivola  Drama History Thriller
2728,Brad Anderson,Eduardo Noriega,Crime Drama Mystery Thriller,Thomas Kretschmann,transsiberian,Mac McDonald,Thomas Kretschmann Eduardo Noriega Mac McDonald Brad Anderson Crime Drama Mystery Thriller
2729,Michael Chapman,Pamela Reed,Adventure Drama Fantasy,Curtis Armstrong,the clan of the cave bear,Mike Muscat,Curtis Armstrong Pamela Reed Mike Muscat Michael Chapman Adventure Drama Fantasy
2730,Antonio Banderas,Elizabeth Perkins,Comedy Crime Drama,Meat Loaf,crazy in alabama,Noah Emmerich,Meat Loaf Elizabeth Perkins Noah Emmerich Antonio Banderas Comedy Crime Drama
2731,Michael Haneke,Siobhan Fallon Hogan,Crime Drama Horror Thriller,Naomi Watts,funny games,Brady Corbet,Naomi Watts Siobhan Fallon Hogan Brady Corbet Michael Haneke Crime Drama Horror Thriller
2732,Khalil Sullins,Kalim Chandler,Drama Sci-Fi Thriller,Thomas Stroppel,listening,Amber Marie Bollinger,Thomas Stroppel Kalim Chandler Amber Marie Bollinger Khalil Sullins Drama Sci-Fi Thriller
2733,Atom Egoyan,Elaine Cassidy,Drama Thriller,Bob Hoskins,felicia's journey,Gerard McSorley,Bob Hoskins Elaine Cassidy Gerard McSorley Atom Egoyan Drama Thriller
2736,Gary Fleder,Bill Cobbs,Crime Drama,Steve Buscemi,things to do in denver when you're dead,Treat Williams,Steve Buscemi Bill Cobbs Treat Williams Gary Fleder Crime Drama
2738,Gregor Jordan,Scott Glenn,Comedy Crime Drama Thriller War,Dean Stockwell,buffalo soldiers,Leon,Dean Stockwell Scott Glenn Leon Gregor Jordan Comedy Crime Drama Thriller War
2741,Neil Marshall,JJ Feild,Action Adventure Drama History Thriller War,Michael Fassbender,centurion,Dave Legeno,Michael Fassbender JJ Feild Dave Legeno Neil Marshall Action Adventure Drama History Thriller War
2742,Russell Mulcahy,Gina Bellman,Action Drama Thriller,Christopher Heyerdahl,silent trigger,Conrad Dunn,Christopher Heyerdahl Gina Bellman Conrad Dunn Russell Mulcahy Action Drama Thriller
2743,Ryûhei Kitamura,Brooke Shields,Fantasy Horror Mystery,Bradley Cooper,the midnight meat train,Leslie Bibb,Bradley Cooper Brooke Shields Leslie Bibb Ryûhei Kitamura Fantasy Horror Mystery
2744,Darrell Roodt,Wendy Crewson,Biography Drama History,Jennifer Hudson,winnie mandela,Aubrey Poo,Jennifer Hudson Wendy Crewson Aubrey Poo Darrell Roodt Biography Drama History
2745,Dito Montiel,Al Pacino,Crime Drama Thriller,Channing Tatum,the son of no one,Tracy Morgan,Channing Tatum Al Pacino Tracy Morgan Dito Montiel Crime Drama Thriller
2746,Stefan Ruzowitzky,Udo Kier,Action Comedy Drama War,Eddie Izzard,all the queen's men,Edward Fox,Eddie Izzard Udo Kier Edward Fox Stefan Ruzowitzky Action Comedy Drama War
2747,Jake Paltrow,Gael Le Cornec,Comedy Drama Fantasy Music Romance,Stephen Graham,the good night,Keith Allen,Stephen Graham Gael Le Cornec Keith Allen Jake Paltrow Comedy Drama Fantasy Music Romance
2748,Juraj Jakubisko,Hans Matheson,Biography Drama Fantasy History,Anna Friel,bathory: countess of blood,Franco Nero,Anna Friel Hans Matheson Franco Nero Juraj Jakubisko Biography Drama Fantasy History
2749,Anthony Silverston,Steve Buscemi,Adventure Animation Family,Liam Neeson,khumba,Loretta Devine,Liam Neeson Steve Buscemi Loretta Devine Anthony Silverston Adventure Animation Family
2750,Gabe Ibáñez,Robert Forster,Action Sci-Fi Thriller,Birgitte Hjort Sørensen,automata,Melanie Griffith,Birgitte Hjort Sørensen Robert Forster Melanie Griffith Gabe Ibáñez Action Sci-Fi Thriller
2751,Gerry Lively,Lucy Gaskell,Action Adventure Fantasy,Bruce Payne,dungeons & dragons: wrath of the dragon god,Steven Elder,Bruce Payne Lucy Gaskell Steven Elder Gerry Lively Action Adventure Fantasy
2754,Julien Temple,Dexter Fletcher,Biography Drama,Samantha Morton,pandaemonium,Linus Roache,Samantha Morton Dexter Fletcher Linus Roache Julien Temple Biography Drama
2755,Harold Ramis,Chris Elliott,Comedy Fantasy Romance,Bill Murray,groundhog day,Willie Garson,Bill Murray Chris Elliott Willie Garson Harold Ramis Comedy Fantasy Romance
2756,Gregory Jacobs,Channing Tatum,Comedy Drama Music,Matt Bomer,magic mike xxl,Kevin Nash,Matt Bomer Channing Tatum Kevin Nash Gregory Jacobs Comedy Drama Music
2757,Baz Luhrmann,Harold Perrineau,Drama Romance,Leonardo DiCaprio,romeo + juliet,Brian Dennehy,Leonardo DiCaprio Harold Perrineau Brian Dennehy Baz Luhrmann Drama Romance
2759,Peter Cousens,David Rasche,Drama Family Music,Sharon Leal,freedom,Bart Shatto,Sharon Leal David Rasche Bart Shatto Peter Cousens Drama Family Music
2760,Clint Eastwood,Morgan Freeman,Drama Western,Clint Eastwood,unforgiven,Frances Fisher,Clint Eastwood Morgan Freeman Frances Fisher Clint Eastwood Drama Western
2761,Lars von Trier,Jeremy Davies,Drama,Bryce Dallas Howard,manderlay,Jean-Marc Barr,Bryce Dallas Howard Jeremy Davies Jean-Marc Barr Lars von Trier Drama
2762,Danny Boyle,Saurabh Shukla,Drama Romance,Anil Kapoor,slumdog millionaire,Ayush Mahesh Khedekar,Anil Kapoor Saurabh Shukla Ayush Mahesh Khedekar Danny Boyle Drama Romance
2763,Adrian Lyne,Lois Smith,Drama Romance Thriller,Fred Gwynne,fatal attraction,Anne Archer,Fred Gwynne Lois Smith Anne Archer Adrian Lyne Drama Romance Thriller
2764,Garry Marshall,Hector Elizondo,Comedy Romance,Julia Roberts,pretty woman,Jason Alexander,Julia Roberts Hector Elizondo Jason Alexander Garry Marshall Comedy Romance
2765,John Blanchard,Andrea Martin,Comedy,Martin Short,towering inferno            ,Joe Flaherty,Martin Short Andrea Martin Joe Flaherty John Blanchard Comedy
2766,John Cornell,Linda Kozlowski,Action Adventure Comedy,Paul Hogan,crocodile dundee ii,John Meillon,Paul Hogan Linda Kozlowski John Meillon John Cornell Action Adventure Comedy
2767,Vidhu Vinod Chopra,Chris Marquette,Action Crime Drama Mystery Thriller,María Valverde,broken horses,Chad Bishop,María Valverde Chris Marquette Chad Bishop Vidhu Vinod Chopra Action Crime Drama Mystery Thriller
2768,Oliver Stone,Tom Berenger,Biography Drama War,Tom Cruise,born on the fourth of july,Stephen Baldwin,Tom Cruise Tom Berenger Stephen Baldwin Oliver Stone Biography Drama War
2769,Jon Turteltaub,Leon,Adventure Comedy Family Sport,Doug E. Doug,cool runnings,Malik Yoba,Doug E. Doug Leon Malik Yoba Jon Turteltaub Adventure Comedy Family Sport
2770,Patrick Lussier,Jaime King,Horror Thriller,Jensen Ackles,my bloody valentine,Edi Gathegi,Jensen Ackles Jaime King Edi Gathegi Patrick Lussier Horror Thriller
2771,Ole Bornedal,Madison Davenport,Horror Thriller,Kyra Sedgwick,the possession,Natasha Calis,Kyra Sedgwick Madison Davenport Natasha Calis Ole Bornedal Horror Thriller
2772,Ted Kotcheff,Brian Dennehy,Action Adventure Drama,Sylvester Stallone,first blood,Chris Mulkey,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama
2773,Sylvain White,Laz Alonso,Drama Music Romance,Chris Brown,stomp the yard,Harry Lennix,Chris Brown Laz Alonso Harry Lennix Sylvain White Drama Music Romance
2774,Lewis Gilbert,Desmond Llewelyn,Action Adventure Sci-Fi Thriller,Caroline Munro,the spy who loved me,Barbara Bach,Caroline Munro Desmond Llewelyn Barbara Bach Lewis Gilbert Action Adventure Sci-Fi Thriller
2775,,Steve Gonsalves,Documentary,Amy Bruni,ghost hunters            ,Jason Hawes,Amy Bruni Steve Gonsalves Jason Hawes  Documentary
2776,Jamie Blanks,Loretta Devine,Horror Mystery Thriller,Alicia Witt,urban legend,Julian Richings,Alicia Witt Loretta Devine Julian Richings Jamie Blanks Horror Mystery Thriller
2777,Stephen Frears,Peter Capaldi,Drama Romance,Keanu Reeves,dangerous liaisons,Swoosie Kurtz,Keanu Reeves Peter Capaldi Swoosie Kurtz Stephen Frears Drama Romance
2778,Tyler Perry,Phylicia Rashad,Comedy Drama Romance,Eddie Cibrian,good deeds,Jamie Kennedy,Eddie Cibrian Phylicia Rashad Jamie Kennedy Tyler Perry Comedy Drama Romance
2779,Randal Kleiser,Klaus Maria Brandauer,Adventure Drama,Seymour Cassel,white fang,Susan Hogan,Seymour Cassel Klaus Maria Brandauer Susan Hogan Randal Kleiser Adventure Drama
2780,Bruce McCulloch,Elaine Hendrix,Comedy Romance,Will Ferrell,superstar,Molly Shannon,Will Ferrell Elaine Hendrix Molly Shannon Bruce McCulloch Comedy Romance
2781,Phyllida Lloyd,Jim Broadbent,Biography Drama History,Meryl Streep,the iron lady,Olivia Colman,Meryl Streep Jim Broadbent Olivia Colman Phyllida Lloyd Biography Drama History
2782,Mike Nawrocki,Mike Nawrocki,Adventure Animation Comedy Drama Family Musical,Phil Vischer,jonah: a veggietales movie,Shelby Vischer,Phil Vischer Mike Nawrocki Shelby Vischer Mike Nawrocki Adventure Animation Comedy Drama Family Musical
2783,John Singleton,Khandi Alexander,Drama Romance,Janet Jackson,poetic justice,Maya Angelou,Janet Jackson Khandi Alexander Maya Angelou John Singleton Drama Romance
2784,Kevin Bray,Roger Guenveur Smith,Action Comedy Crime Thriller,Mike Epps,all about the benjamins,Gino Salvano,Mike Epps Roger Guenveur Smith Gino Salvano Kevin Bray Action Comedy Crime Thriller
2785,Wes Craven,W. Earl Brown,Comedy Fantasy Horror Romance,John Witherspoon,vampire in brooklyn,Allen Payne,John Witherspoon W. Earl Brown Allen Payne Wes Craven Comedy Fantasy Horror Romance
2786,John Boorman,Richard Burton,Horror,Linda Blair,exorcist ii: the heretic,Ned Beatty,Linda Blair Richard Burton Ned Beatty John Boorman Horror
2787,Courtney Solomon,James D'Arcy,Horror Mystery Thriller,Sissy Spacek,an american haunting,Vernon Dobtcheff,Sissy Spacek James D'Arcy Vernon Dobtcheff Courtney Solomon Horror Mystery Thriller
2788,David Zucker,Tyler Labine,Comedy Romance,Carmen Electra,my boss's daughter,Molly Shannon,Carmen Electra Tyler Labine Molly Shannon David Zucker Comedy Romance
2789,David Twohy,Milla Jovovich,Adventure Mystery Thriller,Chris Hemsworth,a perfect getaway,Marley Shelton,Chris Hemsworth Milla Jovovich Marley Shelton David Twohy Adventure Mystery Thriller
2790,Rick Famuyiwa,Lance Gross,Comedy Romance,America Ferrera,our family wedding,Lupe Ontiveros,America Ferrera Lance Gross Lupe Ontiveros Rick Famuyiwa Comedy Romance
2791,Alan Cohn,Linda Cardellini,Comedy,Alyson Hannigan,dead man on campus,Poppy Montgomery,Alyson Hannigan Linda Cardellini Poppy Montgomery Alan Cohn Comedy
2792,Franco Zeffirelli,Joan Plowright,Comedy Drama War,Lily Tomlin,tea with mussolini,Paolo Seganti,Lily Tomlin Joan Plowright Paolo Seganti Franco Zeffirelli Comedy Drama War
2793,Tom Holland,Bethany Joy Lenz,Fantasy Horror,Joe Mantegna,thinner,Kari Wuhrer,Joe Mantegna Bethany Joy Lenz Kari Wuhrer Tom Holland Fantasy Horror
2794,Martin Scorsese,Liza Minnelli,Drama Music Musical Romance,Robert De Niro,"new york, new york",Mary Kay Place,Robert De Niro Liza Minnelli Mary Kay Place Martin Scorsese Drama Music Musical Romance
2795,Spike Lee,Delroy Lindo,Comedy Drama,Alfre Woodard,crooklyn,Isaiah Washington,Alfre Woodard Delroy Lindo Isaiah Washington Spike Lee Comedy Drama
2796,Chris Rock,Eliza Coupe,Comedy Drama Romance,Steve Buscemi,i think i love my wife,Wendell Pierce,Steve Buscemi Eliza Coupe Wendell Pierce Chris Rock Comedy Drama Romance
2797,James Isaac,Kane Hodder,Action Horror Sci-Fi Thriller,Peter Mensah,jason x,Lexa Doig,Peter Mensah Kane Hodder Lexa Doig James Isaac Action Horror Sci-Fi Thriller
2798,Shawn Levy,Donald Faison,Adventure Comedy Family,Frankie Muniz,big fat liar,Lee Majors,Frankie Muniz Donald Faison Lee Majors Shawn Levy Adventure Comedy Family
2799,Emilio Estevez,Nick Cannon,Drama History,Anthony Hopkins,bobby,Brian Geraghty,Anthony Hopkins Nick Cannon Brian Geraghty Emilio Estevez Drama History
2800,Mark Waters,Ivana Milicevic,Comedy Mystery Romance,Monica Potter,head over heels,China Chow,Monica Potter Ivana Milicevic China Chow Mark Waters Comedy Mystery Romance
2801,Josh Schwartz,Jackson Nicoll,Adventure Comedy,Thomas McDonell,fun size,Osric Chau,Thomas McDonell Jackson Nicoll Osric Chau Josh Schwartz Adventure Comedy
2803,Todd Field,Noah Emmerich,Drama Romance,Kate Winslet,little children,Jane Adams,Kate Winslet Noah Emmerich Jane Adams Todd Field Drama Romance
2804,Davis Guggenheim,Sharon Lawrence,Drama Mystery Thriller,Norman Reedus,gossip,Noam Jenkins,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller
2805,Tony Goldwyn,Julie Kavner,Drama,Viggo Mortensen,a walk on the moon,Tovah Feldshuh,Viggo Mortensen Julie Kavner Tovah Feldshuh Tony Goldwyn Drama
2806,Phillip Noyce,Terry Pheto,Biography Drama History,Derek Luke,catch a fire,Bonnie Henna,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History
2807,Stephen Carpenter,Angela Featherstone,Drama Horror Mystery Thriller,Melissa Sagemiller,soul survivors,Candace Kroslak,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller
2808,James Ivory,Todd Boyce,Biography Drama History Romance,Seth Gilliam,jefferson in paris,Nigel Whitmey,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance
2809,Stephan Elliott,Kristin Scott Thomas,Comedy Romance,Colin Firth,easy virtue,Kris Marshall,Colin Firth Kristin Scott Thomas Kris Marshall Stephan Elliott Comedy Romance
2810,James Fargo,Joseph Cotten,Action Adventure History,Christopher Lee,caravans,Behrouz Vossoughi,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
2811,Mike Leigh,Ruth Sheen,Biography Drama History,Lesley Manville,mr. turner,Karl Johnson,Lesley Manville Ruth Sheen Karl Johnson Mike Leigh Biography Drama History
2813,Costa-Gavras,Mathieu Kassovitz,Biography Crime Drama War,Sebastian Koch,amen.,Ulrich Mühe,Sebastian Koch Mathieu Kassovitz Ulrich Mühe Costa-Gavras Biography Crime Drama War
2815,Neil Burger,Katherine LaNasa,Comedy Drama War,John Heard,the lucky ones,Mark L. Young,John Heard Katherine LaNasa Mark L. Young Neil Burger Comedy Drama War
2816,Kenneth Lonergan,Kieran Culkin,Drama,Matt Damon,margaret,John Gallagher Jr.,Matt Damon Kieran Culkin John Gallagher Jr. Kenneth Lonergan Drama
2817,Bo Zenga,Kenan Thompson,Comedy Horror,Steve Howey,stan helsing,Diora Baird,Steve Howey Kenan Thompson Diora Baird Bo Zenga Comedy Horror
2818,Rob Reiner,Rebecca De Mornay,Comedy Drama Romance,Madeline Carroll,flipped,Aidan Quinn,Madeline Carroll Rebecca De Mornay Aidan Quinn Rob Reiner Comedy Drama Romance
2819,Ang Lee,Heath Ledger,Drama Romance,Jake Gyllenhaal,brokeback mountain,Anne Hathaway,Jake Gyllenhaal Heath Ledger Anne Hathaway Ang Lee Drama Romance
2820,Jonathan Liebesman,Danny Woodburn,Action Adventure Comedy Sci-Fi,Noel Fisher,teenage mutant ninja turtles,Jeremy Howard,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action Adventure Comedy Sci-Fi
2821,Amy Heckerling,Dan Hedaya,Comedy Romance,Donald Faison,clueless,Elisa Donovan,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling Comedy Romance
2822,Todd Haynes,Celia Weston,Drama Romance,Dennis Quaid,far from heaven,Michael Gaston,Dennis Quaid Celia Weston Michael Gaston Todd Haynes Drama Romance
2823,Steve Pink,Gillian Jacobs,Comedy Sci-Fi,Adam Scott,hot tub time machine 2,Collette Wolfe,Adam Scott Gillian Jacobs Collette Wolfe Steve Pink Comedy Sci-Fi
2825,Philip Kaufman,Stephen Marcus,Biography Drama,Kate Winslet,quills,Amelia Warner,Kate Winslet Stephen Marcus Amelia Warner Philip Kaufman Biography Drama
2826,Martin McDonagh,Gabourey Sidibe,Comedy Crime,Abbie Cornish,seven psychopaths,Michael Stuhlbarg,Abbie Cornish Gabourey Sidibe Michael Stuhlbarg Martin McDonagh Comedy Crime
2827,Kasi Lemmons,Tamara Tunie,Crime Drama Music Mystery Thriller,Colm Feore,the caveman's valentine,Aunjanue Ellis,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons Crime Drama Music Mystery Thriller
2831,Jonathan Glazer,Paul Brannigan,Drama Horror Sci-Fi Thriller,Scarlett Johansson,under the skin,Alison Chand,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer Drama Horror Sci-Fi Thriller
2832,Barry Levinson,J.T. Walsh,Biography Comedy Drama War,Robin Williams,"good morning, vietnam",Bruno Kirby,Robin Williams J.T. Walsh Bruno Kirby Barry Levinson Biography Comedy Drama War
2833,Hyung-rae Shim,Stephanie Danielson,Comedy,Jason Mewes,the last godfather,Michael Rispoli,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim Comedy
2834,Jon M. Chu,Sean Kingston,Documentary Music,Usher Raymond,justin bieber: never say never,Boys II Men,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
2835,Darren Aronofsky,Mila Kunis,Drama Thriller,Natalie Portman,black swan,Mark Margolis,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky Drama Thriller
2836,José Padilha,Abbie Cornish,Action Crime Sci-Fi Thriller,Gary Oldman,robocop,Jennifer Ehle,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
2837,Francis Ford Coppola,Al Pacino,Crime Drama,Robert De Niro,the godfather: part ii,Robert Duvall,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola Crime Drama
2838,Thomas Carter,Terry Kinney,Drama Music Romance,Sean Patrick Thomas,save the last dance,Fredro Starr,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter Drama Music Romance
2839,Renny Harlin,Rodney Eastman,Fantasy Horror Thriller,Tuesday Knight,a nightmare on elm street 4: the dream master,Brooke Bundy,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin Fantasy Horror Thriller
2840,Patricia Riggen,Brighton Sharbino,Drama,Jennifer Garner,miracles from heaven,Martin Henderson,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen Drama
2841,Danny Leiner,Mary Lynn Rajskub,Comedy Mystery,Jennifer Garner,"dude, where's my car?",Marla Sokoloff,Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
2842,Christopher Cain,Patrick Wayne,Action Crime Drama Thriller Western,Jack Palance,young guns,Brian Keith,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
2843,Theodore Melfi,Naomi Watts,Comedy Drama,Bill Murray,st. vincent,Reg E. Cathey,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi Comedy Drama
2844,Steve Pink,Regina Hall,Comedy Romance,Joe Lo Truglio,about last night,Bryan Callen,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink Comedy Romance
2845,Gil Junger,Heath Ledger,Comedy Drama Romance,Joseph Gordon-Levitt,10 things i hate about you,Andrew Keegan,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger Comedy Drama Romance
2846,Ed Decter,Eddie Griffin,Comedy,Zooey Deschanel,the new guy,Gene Simmons,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter Comedy
2847,Gene Quintano,Lin Shaye,Action Comedy Crime,Jon Lovitz,loaded weapon 1,Bill Nunn,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
2848,Jaume Collet-Serra,Brett Cullen,Drama Horror Thriller,Óscar Jaenada,the shallows,Sedona Legge,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra Drama Horror Thriller
2849,Eric Bress,Eric Stoltz,Sci-Fi Thriller,Logan Lerman,the butterfly effect,Cameron Bright,Logan Lerman Eric Stoltz Cameron Bright Eric Bress Sci-Fi Thriller
2850,Chris Koch,Mark Webber,Adventure Comedy Family,Chris Elliott,snow day,Jean Smart,Chris Elliott Mark Webber Jean Smart Chris Koch Adventure Comedy Family
2851,Preston A. Whitmore II,Chris Brown,Comedy Drama Romance,Mekhi Phifer,this christmas,Loretta Devine,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II Comedy Drama Romance
